style,intensity,topic,caption
genz,0.89,college life,me dealing with college life: absolutely not.
dark,0.98,presentations,presentations never forgets. Never forgives.
dark,0.28,burnout,"Another day, another round of burnout."
dark,0.83,office politics,"Another day, another round of office politics."
sarcastic,0.97,exams,I love how exams ruins everything.
genz,0.98,burnout,burnout?? nah bestie
corporate,0.36,exams,Aligning stakeholders around exams.
sarcastic,0.83,meetings,"Oh sure, because meetings always works perfectly."
dark,0.61,interviews,"Eventually, interviews gets us all."
dark,0.23,job applications,job applications is just a reminder that time is winning.
wholesome,0.81,office politics,"office politics is hard, but you’re doing your best."
sarcastic,0.43,college life,"college life? Yeah, what could possibly go wrong."
corporate,0.25,office politics,Driving synergies to resolve office politics.
wholesome,0.25,procrastination,You’re stronger than procrastination.
corporate,0.22,group projects,Optimizing bandwidth to address group projects.
wholesome,0.73,office politics,"office politics is hard, but you’re doing your best."
sarcastic,0.61,job applications,"job applications? Yeah, what could possibly go wrong."
genz,0.28,office politics,office politics but make it emotionally exhausting.
sarcastic,0.82,performance reviews,Nothing screams success like performance reviews.
corporate,0.27,monday mornings,Leveraging monday mornings for improved outcomes.
genz,0.57,deadlines,me dealing with deadlines: absolutely not.
dark,0.45,emails,emails never forgets. Never forgives.
dark,0.34,meetings,"Eventually, meetings gets us all."
wholesome,0.72,meetings,"meetings is hard, but you’re doing your best."
genz,0.83,presentations,presentations but make it emotionally exhausting.
corporate,0.77,monday mornings,Leveraging monday mornings for improved outcomes.
dark,0.41,group projects,group projects never forgets. Never forgives.
genz,0.27,deadlines,deadlines is literally my villain origin story
genz,0.31,procrastination,me dealing with procrastination: absolutely not.
wholesome,0.23,group projects,You’re stronger than group projects.
corporate,0.26,interviews,Aligning stakeholders around interviews.
sarcastic,0.64,group projects,Nothing screams success like group projects.
wholesome,0.93,work-life balance,"work-life balance is hard, but you’re doing your best."
wholesome,0.59,emails,One step at a time with emails. You’ve got this.
wholesome,0.87,group projects,You’re stronger than group projects.
dark,0.89,exams,exams is just a reminder that time is winning.
genz,0.8,meetings,meetings?? nah bestie
wholesome,0.6,long commutes,"long commutes is hard, but you’re doing your best."
dark,0.8,college life,"Another day, another round of college life."
wholesome,0.82,presentations,"presentations is hard, but you’re doing your best."
dark,0.86,meetings,"Another day, another round of meetings."
genz,0.81,performance reviews,performance reviews but make it emotionally exhausting.
wholesome,0.7,work-life balance,You’re stronger than work-life balance.
sarcastic,0.35,startups,"startups? Yeah, what could possibly go wrong."
sarcastic,0.63,startups,Nothing screams success like startups.
sarcastic,0.7,group projects,"Oh sure, because group projects always works perfectly."
sarcastic,0.82,work-life balance,Nothing screams success like work-life balance.
wholesome,0.48,waking up early,"No matter what, waking up early doesn’t define your worth."
genz,0.66,presentations,presentations but make it emotionally exhausting.
sarcastic,0.89,work-life balance,Nothing screams success like work-life balance.
dark,0.88,performance reviews,"Eventually, performance reviews gets us all."
corporate,0.93,presentations,Driving synergies to resolve presentations.
sarcastic,0.31,procrastination,I love how procrastination ruins everything.
wholesome,0.77,meetings,"No matter what, meetings doesn’t define your worth."
wholesome,0.87,meetings,You’re stronger than meetings.
wholesome,0.55,performance reviews,One step at a time with performance reviews. You’ve got this.
corporate,0.4,interviews,Aligning stakeholders around interviews.
wholesome,0.58,meetings,You’re stronger than meetings.
genz,0.37,long commutes,long commutes?? nah bestie
dark,0.79,side hustles,"Eventually, side hustles gets us all."
corporate,0.29,job applications,Aligning stakeholders around job applications.
dark,0.56,group projects,group projects is just a reminder that time is winning.
genz,0.64,waking up early,waking up early is literally my villain origin story
sarcastic,0.57,work-life balance,I love how work-life balance ruins everything.
wholesome,0.59,long commutes,One step at a time with long commutes. You’ve got this.
sarcastic,0.98,emails,I love how emails ruins everything.
wholesome,0.23,salary negotiations,"No matter what, salary negotiations doesn’t define your worth."
genz,0.9,waking up early,waking up early is literally my villain origin story
genz,0.37,procrastination,procrastination but make it emotionally exhausting.
corporate,0.87,group projects,Driving synergies to resolve group projects.
sarcastic,0.68,job applications,Nothing screams success like job applications.
genz,0.22,work-life balance,me dealing with work-life balance: absolutely not.
dark,0.6,burnout,burnout never forgets. Never forgives.
wholesome,0.23,monday mornings,"monday mornings is hard, but you’re doing your best."
dark,0.84,startups,startups never forgets. Never forgives.
corporate,0.52,work-life balance,Leveraging work-life balance for improved outcomes.
corporate,0.32,presentations,Leveraging presentations for improved outcomes.
dark,0.25,performance reviews,performance reviews never forgets. Never forgives.
wholesome,0.45,side hustles,"side hustles is hard, but you’re doing your best."
genz,0.5,job applications,me dealing with job applications: absolutely not.
sarcastic,0.52,exams,I love how exams ruins everything.
dark,0.52,office politics,office politics is just a reminder that time is winning.
wholesome,0.4,job applications,"job applications is hard, but you’re doing your best."
dark,0.33,performance reviews,"Another day, another round of performance reviews."
corporate,0.61,presentations,Leveraging presentations for improved outcomes.
dark,0.41,meetings,"Eventually, meetings gets us all."
genz,1.0,procrastination,procrastination but make it emotionally exhausting.
sarcastic,0.71,exams,"exams? Yeah, what could possibly go wrong."
wholesome,0.31,waking up early,"No matter what, waking up early doesn’t define your worth."
corporate,0.95,side hustles,Optimizing bandwidth to address side hustles.
dark,0.81,deadlines,deadlines is just a reminder that time is winning.
genz,0.72,office politics,me dealing with office politics: absolutely not.
wholesome,0.63,interviews,"interviews is hard, but you’re doing your best."
corporate,0.83,exams,Leveraging exams for improved outcomes.
genz,0.95,interviews,interviews?? nah bestie
dark,0.96,exams,"Eventually, exams gets us all."
corporate,0.79,waking up early,Aligning stakeholders around waking up early.
corporate,0.55,interviews,Optimizing bandwidth to address interviews.
corporate,0.66,emails,Optimizing bandwidth to address emails.
corporate,0.41,college life,Driving synergies to resolve college life.
sarcastic,0.43,group projects,"group projects? Yeah, what could possibly go wrong."
wholesome,0.65,exams,"exams is hard, but you’re doing your best."
dark,0.41,group projects,"Eventually, group projects gets us all."
wholesome,0.31,office politics,"No matter what, office politics doesn’t define your worth."
corporate,0.32,burnout,Driving synergies to resolve burnout.
corporate,0.57,side hustles,Optimizing bandwidth to address side hustles.
corporate,0.21,performance reviews,Driving synergies to resolve performance reviews.
dark,0.97,emails,emails never forgets. Never forgives.
wholesome,0.76,college life,You’re stronger than college life.
sarcastic,0.61,group projects,I love how group projects ruins everything.
genz,0.45,waking up early,me dealing with waking up early: absolutely not.
sarcastic,0.56,emails,"emails? Yeah, what could possibly go wrong."
genz,0.44,presentations,me dealing with presentations: absolutely not.
genz,0.78,performance reviews,me dealing with performance reviews: absolutely not.
wholesome,0.29,salary negotiations,One step at a time with salary negotiations. You’ve got this.
dark,0.38,salary negotiations,salary negotiations never forgets. Never forgives.
sarcastic,0.76,college life,"college life? Yeah, what could possibly go wrong."
genz,0.59,waking up early,me dealing with waking up early: absolutely not.
genz,0.7,meetings,meetings but make it emotionally exhausting.
corporate,0.79,monday mornings,Aligning stakeholders around monday mornings.
sarcastic,0.27,deadlines,I love how deadlines ruins everything.
wholesome,0.57,salary negotiations,"salary negotiations is hard, but you’re doing your best."
dark,0.92,burnout,"Eventually, burnout gets us all."
wholesome,0.77,startups,"No matter what, startups doesn’t define your worth."
sarcastic,0.78,exams,Nothing screams success like exams.
dark,0.74,deadlines,"Another day, another round of deadlines."
dark,0.99,long commutes,long commutes never forgets. Never forgives.
wholesome,0.62,deadlines,"deadlines is hard, but you’re doing your best."
dark,0.48,job applications,job applications is just a reminder that time is winning.
dark,0.96,job applications,job applications is just a reminder that time is winning.
corporate,0.36,job applications,Driving synergies to resolve job applications.
corporate,0.41,presentations,Optimizing bandwidth to address presentations.
genz,0.7,work-life balance,work-life balance is literally my villain origin story
genz,0.88,deadlines,me dealing with deadlines: absolutely not.
corporate,0.45,monday mornings,Driving synergies to resolve monday mornings.
dark,0.63,side hustles,side hustles never forgets. Never forgives.
sarcastic,0.76,college life,Nothing screams success like college life.
wholesome,0.69,emails,"No matter what, emails doesn’t define your worth."
wholesome,0.66,exams,"exams is hard, but you’re doing your best."
genz,0.87,monday mornings,me dealing with monday mornings: absolutely not.
wholesome,0.88,performance reviews,You’re stronger than performance reviews.
genz,0.49,procrastination,procrastination but make it emotionally exhausting.
dark,0.96,group projects,"Eventually, group projects gets us all."
sarcastic,0.57,emails,Nothing screams success like emails.
wholesome,0.29,procrastination,"procrastination is hard, but you’re doing your best."
sarcastic,0.73,side hustles,Nothing screams success like side hustles.
corporate,0.8,college life,Leveraging college life for improved outcomes.
corporate,0.83,emails,Aligning stakeholders around emails.
genz,0.39,college life,me dealing with college life: absolutely not.
genz,0.53,waking up early,waking up early is literally my villain origin story
dark,0.66,work-life balance,work-life balance is just a reminder that time is winning.
sarcastic,0.44,meetings,"Oh sure, because meetings always works perfectly."
sarcastic,0.3,performance reviews,"performance reviews? Yeah, what could possibly go wrong."
sarcastic,0.3,salary negotiations,Nothing screams success like salary negotiations.
corporate,0.55,exams,Driving synergies to resolve exams.
wholesome,0.95,group projects,"group projects is hard, but you’re doing your best."
corporate,0.84,college life,Aligning stakeholders around college life.
genz,0.65,salary negotiations,salary negotiations but make it emotionally exhausting.
wholesome,0.64,side hustles,"No matter what, side hustles doesn’t define your worth."
sarcastic,0.43,side hustles,I love how side hustles ruins everything.
sarcastic,0.69,performance reviews,Nothing screams success like performance reviews.
dark,0.68,work-life balance,work-life balance never forgets. Never forgives.
genz,0.24,work-life balance,work-life balance but make it emotionally exhausting.
wholesome,0.7,performance reviews,One step at a time with performance reviews. You’ve got this.
genz,0.23,presentations,presentations is literally my villain origin story
corporate,0.58,deadlines,Driving synergies to resolve deadlines.
wholesome,0.38,side hustles,One step at a time with side hustles. You’ve got this.
genz,0.31,meetings,meetings?? nah bestie
sarcastic,0.21,burnout,Nothing screams success like burnout.
corporate,0.35,college life,Optimizing bandwidth to address college life.
corporate,0.93,group projects,Driving synergies to resolve group projects.
corporate,0.41,salary negotiations,Leveraging salary negotiations for improved outcomes.
dark,0.89,work-life balance,work-life balance is just a reminder that time is winning.
wholesome,0.87,procrastination,You’re stronger than procrastination.
genz,0.5,deadlines,deadlines is literally my villain origin story
wholesome,0.61,deadlines,"deadlines is hard, but you’re doing your best."
corporate,0.74,side hustles,Aligning stakeholders around side hustles.
wholesome,0.3,emails,"No matter what, emails doesn’t define your worth."
genz,0.66,work-life balance,work-life balance is literally my villain origin story
corporate,0.72,burnout,Aligning stakeholders around burnout.
dark,0.6,interviews,"Eventually, interviews gets us all."
genz,0.89,interviews,interviews is literally my villain origin story
corporate,0.31,job applications,Aligning stakeholders around job applications.
corporate,0.93,waking up early,Leveraging waking up early for improved outcomes.
genz,0.95,meetings,meetings is literally my villain origin story
sarcastic,0.51,procrastination,"Oh sure, because procrastination always works perfectly."
dark,0.96,office politics,office politics is just a reminder that time is winning.
dark,0.99,long commutes,long commutes never forgets. Never forgives.
genz,0.46,long commutes,long commutes but make it emotionally exhausting.
corporate,0.69,burnout,Aligning stakeholders around burnout.
corporate,0.96,startups,Optimizing bandwidth to address startups.
sarcastic,0.85,performance reviews,Nothing screams success like performance reviews.
genz,0.93,college life,college life?? nah bestie
dark,0.44,waking up early,"Another day, another round of waking up early."
corporate,0.23,procrastination,Leveraging procrastination for improved outcomes.
genz,0.91,emails,emails but make it emotionally exhausting.
corporate,0.29,deadlines,Driving synergies to resolve deadlines.
dark,0.53,college life,"Another day, another round of college life."
dark,0.26,deadlines,deadlines is just a reminder that time is winning.
genz,0.86,meetings,meetings?? nah bestie
wholesome,0.36,salary negotiations,"salary negotiations is hard, but you’re doing your best."
dark,0.63,job applications,"Eventually, job applications gets us all."
wholesome,0.65,side hustles,One step at a time with side hustles. You’ve got this.
dark,0.92,deadlines,"Eventually, deadlines gets us all."
corporate,0.97,waking up early,Optimizing bandwidth to address waking up early.
dark,0.86,group projects,group projects never forgets. Never forgives.
corporate,0.74,long commutes,Optimizing bandwidth to address long commutes.
genz,0.66,salary negotiations,me dealing with salary negotiations: absolutely not.
dark,0.62,salary negotiations,salary negotiations never forgets. Never forgives.
wholesome,0.38,startups,"startups is hard, but you’re doing your best."
sarcastic,0.39,long commutes,Nothing screams success like long commutes.
corporate,0.56,startups,Optimizing bandwidth to address startups.
sarcastic,0.43,procrastination,I love how procrastination ruins everything.
sarcastic,0.67,presentations,Nothing screams success like presentations.
sarcastic,0.45,procrastination,Nothing screams success like procrastination.
genz,0.68,presentations,presentations?? nah bestie
genz,0.81,side hustles,side hustles but make it emotionally exhausting.
genz,0.77,emails,emails is literally my villain origin story
wholesome,0.96,long commutes,"No matter what, long commutes doesn’t define your worth."
dark,0.7,waking up early,waking up early never forgets. Never forgives.
corporate,0.94,burnout,Optimizing bandwidth to address burnout.
genz,0.34,work-life balance,work-life balance?? nah bestie
genz,0.89,side hustles,side hustles is literally my villain origin story
dark,0.71,office politics,office politics never forgets. Never forgives.
genz,0.65,procrastination,me dealing with procrastination: absolutely not.
wholesome,0.98,startups,"No matter what, startups doesn’t define your worth."
genz,0.74,side hustles,side hustles?? nah bestie
wholesome,0.39,deadlines,"No matter what, deadlines doesn’t define your worth."
wholesome,0.26,salary negotiations,"No matter what, salary negotiations doesn’t define your worth."
dark,0.99,side hustles,side hustles never forgets. Never forgives.
sarcastic,0.67,group projects,"group projects? Yeah, what could possibly go wrong."
wholesome,0.43,office politics,"office politics is hard, but you’re doing your best."
dark,0.47,procrastination,procrastination never forgets. Never forgives.
dark,0.27,interviews,interviews is just a reminder that time is winning.
corporate,0.83,interviews,Leveraging interviews for improved outcomes.
sarcastic,0.87,meetings,Nothing screams success like meetings.
wholesome,0.64,deadlines,You’re stronger than deadlines.
wholesome,0.37,side hustles,"side hustles is hard, but you’re doing your best."
dark,0.41,office politics,"Eventually, office politics gets us all."
sarcastic,0.96,long commutes,"long commutes? Yeah, what could possibly go wrong."
corporate,0.88,college life,Aligning stakeholders around college life.
dark,0.21,work-life balance,"Eventually, work-life balance gets us all."
dark,0.52,emails,emails is just a reminder that time is winning.
genz,0.99,interviews,interviews is literally my villain origin story
dark,0.64,presentations,presentations is just a reminder that time is winning.
genz,0.5,waking up early,waking up early?? nah bestie
dark,0.42,group projects,group projects never forgets. Never forgives.
sarcastic,0.59,long commutes,"Oh sure, because long commutes always works perfectly."
corporate,0.7,emails,Aligning stakeholders around emails.
genz,0.5,performance reviews,performance reviews but make it emotionally exhausting.
dark,0.83,waking up early,waking up early is just a reminder that time is winning.
sarcastic,0.87,presentations,"presentations? Yeah, what could possibly go wrong."
dark,0.56,performance reviews,"Another day, another round of performance reviews."
dark,0.75,meetings,"Eventually, meetings gets us all."
genz,0.96,monday mornings,monday mornings but make it emotionally exhausting.
genz,0.6,performance reviews,performance reviews is literally my villain origin story
wholesome,0.28,performance reviews,"performance reviews is hard, but you’re doing your best."
genz,0.27,office politics,office politics?? nah bestie
sarcastic,0.65,job applications,Nothing screams success like job applications.
wholesome,0.75,office politics,You’re stronger than office politics.
genz,0.47,monday mornings,me dealing with monday mornings: absolutely not.
genz,0.33,college life,college life?? nah bestie
corporate,0.44,waking up early,Aligning stakeholders around waking up early.
corporate,0.53,procrastination,Optimizing bandwidth to address procrastination.
wholesome,0.62,waking up early,One step at a time with waking up early. You’ve got this.
genz,0.97,side hustles,me dealing with side hustles: absolutely not.
dark,0.35,monday mornings,monday mornings is just a reminder that time is winning.
dark,0.91,procrastination,"Another day, another round of procrastination."
dark,0.72,performance reviews,"Another day, another round of performance reviews."
wholesome,0.49,meetings,You’re stronger than meetings.
wholesome,0.32,salary negotiations,"No matter what, salary negotiations doesn’t define your worth."
wholesome,0.72,long commutes,You’re stronger than long commutes.
corporate,0.72,job applications,Leveraging job applications for improved outcomes.
genz,0.33,salary negotiations,salary negotiations?? nah bestie
genz,0.33,office politics,me dealing with office politics: absolutely not.
corporate,0.89,exams,Driving synergies to resolve exams.
sarcastic,0.88,job applications,"Oh sure, because job applications always works perfectly."
dark,0.61,group projects,group projects is just a reminder that time is winning.
dark,0.54,long commutes,"Another day, another round of long commutes."
genz,0.87,exams,me dealing with exams: absolutely not.
dark,0.34,startups,startups never forgets. Never forgives.
dark,0.51,waking up early,waking up early is just a reminder that time is winning.
wholesome,0.48,presentations,One step at a time with presentations. You’ve got this.
wholesome,0.46,college life,You’re stronger than college life.
corporate,0.88,interviews,Driving synergies to resolve interviews.
genz,0.21,group projects,group projects is literally my villain origin story
genz,0.49,monday mornings,me dealing with monday mornings: absolutely not.
sarcastic,0.25,waking up early,"Oh sure, because waking up early always works perfectly."
corporate,0.68,burnout,Aligning stakeholders around burnout.
dark,0.79,college life,"Another day, another round of college life."
genz,0.55,long commutes,me dealing with long commutes: absolutely not.
dark,0.64,deadlines,deadlines never forgets. Never forgives.
sarcastic,0.83,interviews,"interviews? Yeah, what could possibly go wrong."
dark,0.52,startups,startups never forgets. Never forgives.
corporate,0.46,deadlines,Leveraging deadlines for improved outcomes.
genz,0.76,interviews,interviews but make it emotionally exhausting.
corporate,0.3,monday mornings,Leveraging monday mornings for improved outcomes.
dark,0.68,procrastination,procrastination is just a reminder that time is winning.
wholesome,0.44,monday mornings,You’re stronger than monday mornings.
dark,0.38,college life,college life is just a reminder that time is winning.
corporate,0.74,work-life balance,Aligning stakeholders around work-life balance.
dark,0.59,group projects,group projects never forgets. Never forgives.
sarcastic,0.26,presentations,"Oh sure, because presentations always works perfectly."
sarcastic,0.32,work-life balance,Nothing screams success like work-life balance.
wholesome,0.65,waking up early,"waking up early is hard, but you’re doing your best."
dark,0.9,side hustles,side hustles is just a reminder that time is winning.
genz,0.6,burnout,burnout?? nah bestie
wholesome,0.99,startups,"startups is hard, but you’re doing your best."
sarcastic,0.83,procrastination,"Oh sure, because procrastination always works perfectly."
dark,0.8,salary negotiations,"Another day, another round of salary negotiations."
sarcastic,0.45,monday mornings,I love how monday mornings ruins everything.
dark,0.87,presentations,presentations is just a reminder that time is winning.
sarcastic,0.58,job applications,Nothing screams success like job applications.
corporate,0.25,salary negotiations,Optimizing bandwidth to address salary negotiations.
sarcastic,0.93,procrastination,I love how procrastination ruins everything.
dark,0.82,monday mornings,"Eventually, monday mornings gets us all."
corporate,0.84,waking up early,Aligning stakeholders around waking up early.
genz,0.24,work-life balance,work-life balance?? nah bestie
sarcastic,0.57,interviews,Nothing screams success like interviews.
genz,0.98,salary negotiations,salary negotiations but make it emotionally exhausting.
genz,0.76,interviews,interviews but make it emotionally exhausting.
dark,0.94,startups,"Eventually, startups gets us all."
dark,0.53,side hustles,side hustles never forgets. Never forgives.
dark,0.7,procrastination,procrastination is just a reminder that time is winning.
wholesome,0.57,monday mornings,One step at a time with monday mornings. You’ve got this.
corporate,0.2,group projects,Leveraging group projects for improved outcomes.
wholesome,0.33,waking up early,"No matter what, waking up early doesn’t define your worth."
sarcastic,0.42,procrastination,I love how procrastination ruins everything.
dark,0.64,work-life balance,"Another day, another round of work-life balance."
corporate,0.65,side hustles,Driving synergies to resolve side hustles.
corporate,0.98,long commutes,Aligning stakeholders around long commutes.
corporate,0.72,deadlines,Aligning stakeholders around deadlines.
sarcastic,0.83,long commutes,"long commutes? Yeah, what could possibly go wrong."
corporate,0.8,work-life balance,Aligning stakeholders around work-life balance.
corporate,0.97,long commutes,Driving synergies to resolve long commutes.
corporate,0.8,exams,Driving synergies to resolve exams.
dark,0.51,emails,"Eventually, emails gets us all."
dark,0.41,interviews,"Eventually, interviews gets us all."
corporate,0.25,emails,Leveraging emails for improved outcomes.
wholesome,0.96,emails,One step at a time with emails. You’ve got this.
corporate,0.22,salary negotiations,Optimizing bandwidth to address salary negotiations.
sarcastic,0.7,presentations,I love how presentations ruins everything.
genz,0.59,office politics,office politics?? nah bestie
dark,0.37,side hustles,"Eventually, side hustles gets us all."
dark,0.46,group projects,"Another day, another round of group projects."
genz,0.39,procrastination,me dealing with procrastination: absolutely not.
dark,0.86,emails,"Eventually, emails gets us all."
genz,0.63,startups,startups is literally my villain origin story
genz,0.57,exams,exams?? nah bestie
corporate,0.43,work-life balance,Driving synergies to resolve work-life balance.
corporate,0.21,performance reviews,Optimizing bandwidth to address performance reviews.
sarcastic,0.63,startups,I love how startups ruins everything.
wholesome,0.27,presentations,"presentations is hard, but you’re doing your best."
genz,0.99,meetings,meetings?? nah bestie
corporate,0.34,burnout,Optimizing bandwidth to address burnout.
wholesome,0.7,emails,One step at a time with emails. You’ve got this.
dark,0.9,college life,"Another day, another round of college life."
dark,0.24,waking up early,"Another day, another round of waking up early."
wholesome,0.83,side hustles,"No matter what, side hustles doesn’t define your worth."
wholesome,0.23,salary negotiations,One step at a time with salary negotiations. You’ve got this.
dark,0.21,procrastination,procrastination never forgets. Never forgives.
wholesome,0.75,procrastination,One step at a time with procrastination. You’ve got this.
wholesome,0.29,job applications,One step at a time with job applications. You’ve got this.
dark,0.54,college life,college life never forgets. Never forgives.
corporate,0.98,meetings,Driving synergies to resolve meetings.
dark,0.54,work-life balance,work-life balance is just a reminder that time is winning.
genz,0.41,startups,startups is literally my villain origin story
wholesome,0.72,side hustles,One step at a time with side hustles. You’ve got this.
corporate,0.85,procrastination,Driving synergies to resolve procrastination.
genz,0.42,work-life balance,work-life balance is literally my villain origin story
wholesome,0.97,startups,You’re stronger than startups.
wholesome,0.92,salary negotiations,"salary negotiations is hard, but you’re doing your best."
wholesome,0.79,burnout,You’re stronger than burnout.
wholesome,0.62,emails,"No matter what, emails doesn’t define your worth."
dark,0.82,startups,startups never forgets. Never forgives.
sarcastic,0.44,job applications,Nothing screams success like job applications.
genz,0.47,monday mornings,me dealing with monday mornings: absolutely not.
corporate,0.56,presentations,Leveraging presentations for improved outcomes.
sarcastic,0.29,presentations,"Oh sure, because presentations always works perfectly."
wholesome,0.8,burnout,One step at a time with burnout. You’ve got this.
dark,0.41,deadlines,deadlines never forgets. Never forgives.
wholesome,0.57,emails,"No matter what, emails doesn’t define your worth."
corporate,0.4,college life,Leveraging college life for improved outcomes.
sarcastic,0.51,deadlines,I love how deadlines ruins everything.
corporate,0.49,procrastination,Driving synergies to resolve procrastination.
dark,0.81,office politics,office politics never forgets. Never forgives.
sarcastic,0.26,job applications,Nothing screams success like job applications.
wholesome,0.52,salary negotiations,"salary negotiations is hard, but you’re doing your best."
sarcastic,0.55,office politics,Nothing screams success like office politics.
genz,0.99,deadlines,deadlines is literally my villain origin story
sarcastic,0.89,college life,"college life? Yeah, what could possibly go wrong."
dark,0.41,side hustles,"Another day, another round of side hustles."
corporate,0.85,work-life balance,Leveraging work-life balance for improved outcomes.
corporate,0.59,burnout,Leveraging burnout for improved outcomes.
wholesome,0.86,presentations,You’re stronger than presentations.
wholesome,0.83,presentations,"presentations is hard, but you’re doing your best."
genz,0.88,waking up early,waking up early is literally my villain origin story
genz,0.44,emails,me dealing with emails: absolutely not.
sarcastic,0.7,emails,"Oh sure, because emails always works perfectly."
dark,0.88,exams,exams never forgets. Never forgives.
wholesome,0.58,office politics,"No matter what, office politics doesn’t define your worth."
wholesome,0.79,group projects,You’re stronger than group projects.
dark,0.25,college life,"Eventually, college life gets us all."
genz,0.9,emails,me dealing with emails: absolutely not.
genz,0.55,college life,college life?? nah bestie
sarcastic,0.85,job applications,"Oh sure, because job applications always works perfectly."
genz,0.97,office politics,office politics?? nah bestie
dark,0.66,exams,exams is just a reminder that time is winning.
genz,0.94,interviews,me dealing with interviews: absolutely not.
wholesome,0.8,burnout,One step at a time with burnout. You’ve got this.
genz,0.93,deadlines,deadlines is literally my villain origin story
sarcastic,0.66,interviews,"Oh sure, because interviews always works perfectly."
wholesome,0.59,job applications,"job applications is hard, but you’re doing your best."
wholesome,0.28,long commutes,One step at a time with long commutes. You’ve got this.
dark,0.31,office politics,"Eventually, office politics gets us all."
genz,0.99,work-life balance,me dealing with work-life balance: absolutely not.
corporate,0.45,deadlines,Optimizing bandwidth to address deadlines.
genz,0.7,startups,startups but make it emotionally exhausting.
wholesome,0.93,salary negotiations,One step at a time with salary negotiations. You’ve got this.
corporate,0.56,emails,Optimizing bandwidth to address emails.
wholesome,0.78,waking up early,One step at a time with waking up early. You’ve got this.
dark,0.58,long commutes,long commutes never forgets. Never forgives.
corporate,0.8,startups,Aligning stakeholders around startups.
dark,0.29,salary negotiations,"Eventually, salary negotiations gets us all."
wholesome,0.89,office politics,"No matter what, office politics doesn’t define your worth."
genz,0.38,waking up early,waking up early but make it emotionally exhausting.
sarcastic,0.23,burnout,I love how burnout ruins everything.
genz,0.69,emails,emails but make it emotionally exhausting.
wholesome,0.52,work-life balance,"No matter what, work-life balance doesn’t define your worth."
wholesome,0.3,work-life balance,One step at a time with work-life balance. You’ve got this.
wholesome,0.48,monday mornings,You’re stronger than monday mornings.
corporate,0.46,work-life balance,Leveraging work-life balance for improved outcomes.
dark,0.23,exams,"Eventually, exams gets us all."
sarcastic,0.59,group projects,Nothing screams success like group projects.
dark,0.27,college life,"Another day, another round of college life."
genz,0.98,job applications,me dealing with job applications: absolutely not.
wholesome,0.52,college life,You’re stronger than college life.
corporate,0.57,performance reviews,Optimizing bandwidth to address performance reviews.
wholesome,0.46,emails,"emails is hard, but you’re doing your best."
sarcastic,0.71,job applications,"Oh sure, because job applications always works perfectly."
corporate,0.59,emails,Optimizing bandwidth to address emails.
sarcastic,0.34,interviews,"Oh sure, because interviews always works perfectly."
dark,0.25,office politics,office politics is just a reminder that time is winning.
corporate,0.66,office politics,Aligning stakeholders around office politics.
sarcastic,0.6,presentations,"presentations? Yeah, what could possibly go wrong."
dark,0.3,procrastination,procrastination never forgets. Never forgives.
wholesome,0.73,long commutes,"No matter what, long commutes doesn’t define your worth."
sarcastic,0.31,startups,I love how startups ruins everything.
corporate,1.0,meetings,Aligning stakeholders around meetings.
sarcastic,0.47,side hustles,"Oh sure, because side hustles always works perfectly."
genz,0.99,startups,startups but make it emotionally exhausting.
sarcastic,0.93,side hustles,I love how side hustles ruins everything.
wholesome,0.7,job applications,"job applications is hard, but you’re doing your best."
sarcastic,0.31,salary negotiations,"salary negotiations? Yeah, what could possibly go wrong."
genz,0.88,waking up early,waking up early but make it emotionally exhausting.
wholesome,0.26,job applications,"No matter what, job applications doesn’t define your worth."
wholesome,0.56,monday mornings,"monday mornings is hard, but you’re doing your best."
sarcastic,0.8,startups,Nothing screams success like startups.
wholesome,0.56,exams,You’re stronger than exams.
genz,0.76,office politics,office politics but make it emotionally exhausting.
sarcastic,0.44,group projects,"Oh sure, because group projects always works perfectly."
dark,0.35,salary negotiations,"Another day, another round of salary negotiations."
wholesome,0.31,job applications,"job applications is hard, but you’re doing your best."
dark,0.46,performance reviews,"Eventually, performance reviews gets us all."
corporate,0.31,procrastination,Optimizing bandwidth to address procrastination.
dark,0.85,long commutes,long commutes never forgets. Never forgives.
genz,0.55,burnout,burnout but make it emotionally exhausting.
genz,0.67,emails,emails?? nah bestie
dark,0.72,burnout,burnout never forgets. Never forgives.
dark,0.92,performance reviews,performance reviews never forgets. Never forgives.
wholesome,0.41,presentations,"presentations is hard, but you’re doing your best."
corporate,0.96,exams,Optimizing bandwidth to address exams.
genz,0.98,group projects,group projects?? nah bestie
genz,0.89,deadlines,deadlines?? nah bestie
corporate,0.9,college life,Optimizing bandwidth to address college life.
sarcastic,0.59,side hustles,"Oh sure, because side hustles always works perfectly."
sarcastic,0.22,emails,"Oh sure, because emails always works perfectly."
genz,0.81,college life,college life?? nah bestie
wholesome,0.28,deadlines,"deadlines is hard, but you’re doing your best."
wholesome,0.61,performance reviews,One step at a time with performance reviews. You’ve got this.
genz,0.58,deadlines,deadlines but make it emotionally exhausting.
sarcastic,0.41,burnout,I love how burnout ruins everything.
genz,0.42,deadlines,deadlines is literally my villain origin story
corporate,0.4,presentations,Aligning stakeholders around presentations.
sarcastic,0.77,job applications,I love how job applications ruins everything.
dark,0.24,deadlines,deadlines is just a reminder that time is winning.
wholesome,0.35,office politics,"No matter what, office politics doesn’t define your worth."
